order_id,ts_s,market_id,token_id,side,action,qty,avg_price,notional_usd,fee_usd,slippage_usd
gen-1-1,1775203896.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,BUY,186.81113394358303,0.5353,100.0,1.0,0.9900990099009848
settlement,1775220997.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,SETTLE,186.81113394358303,1.0,186.81113394358303,0.0,0.0
