timestamp_s,market_id,token_id,best_bid,best_ask,orderbook_mid,spread,depth_usd,bids,asks,source,quality_stale,quality_partial,metadata
1775203843.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.5395500000000001,0.55045,0.545,0.01089999999999991,2000.0,"[{'price': 0.5395500000000001, 'size': 1853.3963488091927}]","[{'price': 0.55045, 'size': 1816.6954310109911}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775203896.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.5247,0.5353,0.53,0.010599999999999943,2000.0,"[{'price': 0.5247, 'size': 1905.8509624547357}]","[{'price': 0.5353, 'size': 1868.1113394358304}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775203957.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.5841,0.5959,0.59,0.011800000000000033,2000.0,"[{'price': 0.5841, 'size': 1712.0356103406953}]","[{'price': 0.5959, 'size': 1678.133915086424}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775204017.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.6039,0.6161,0.61,0.012199999999999989,2000.0,"[{'price': 0.6039, 'size': 1655.9032952475575}]","[{'price': 0.6161, 'size': 1623.1131309852296}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775204077.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.59895,0.61105,0.605,0.0121,2000.0,"[{'price': 0.59895, 'size': 1669.5884464479507}]","[{'price': 0.61105, 'size': 1636.5272890925457}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775204137.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.6237,0.6363,0.63,0.012599999999999945,2000.0,"[{'price': 0.6237, 'size': 1603.3349366682698}]","[{'price': 0.6363, 'size': 1571.5857300015716}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775204196.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.59895,0.61105,0.605,0.0121,2000.0,"[{'price': 0.59895, 'size': 1669.5884464479507}]","[{'price': 0.61105, 'size': 1636.5272890925457}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775204258.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.5841,0.5959,0.59,0.011800000000000033,2000.0,"[{'price': 0.5841, 'size': 1712.0356103406953}]","[{'price': 0.5959, 'size': 1678.133915086424}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775204318.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.5791499999999999,0.59085,0.585,0.011700000000000044,2000.0,"[{'price': 0.5791499999999999, 'size': 1726.6683933350603}]","[{'price': 0.59085, 'size': 1692.4769400016926}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
1775204378.0,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,0.61875,0.63125,0.625,0.012499999999999956,2000.0,"[{'price': 0.61875, 'size': 1616.1616161616162}]","[{'price': 0.63125, 'size': 1584.1584158415842}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}"
