method,hit_rate,brier,p_l,signals,coverage
market_only,0.8635,0.073393,-16.13207,383,0.6558
data_only,0.2416,0.152059,-172.705154,270,0.4623
news_only,0.0,0.3364,-1.0,2,0.0034
data_news,0.2407,0.152742,-173.705154,271,0.464
proposed_agent,0.3846,0.329596,-48.759052,119,0.2038
