domain,hit_rate,brier,p_l,signals,coverage,share
cs2,0.5,0.16036,-0.784279,10,0.5,0.0862
btc,,,0.0,0,0.0,0.0
weather,0.3774,0.345498,-46.974772,106,0.1883,0.9138
