domain,hit_rate,brier,p_l,signals,coverage,share
cs2,0.5,0.17245,0.105263,2,0.1053,0.0645
btc,0.4583,0.250215,-2.0,24,1.0,0.7742
weather,0.4,0.158782,-2.114705,5,1.0,0.1613
