method,hit_rate,brier,p_l,signals,coverage
market_only,0.6111,0.222341,3.625353,36,0.75
data_only,0.6667,0.159105,1.375755,12,0.25
news_only,0.4583,0.250215,-2.0,24,0.5
data_news,0.5278,0.219845,-0.624245,36,0.75
proposed_agent,0.4516,0.23045,-4.009442,31,0.6458
