threshold,hit_rate,brier,p_l,signals,coverage
0.25,0.4615,0.178711,-2.391522,116,0.1993
0.5,0.8333,0.1603,3.215721,10,0.0172
0.75,,,0.0,0,0.0
1.0,,,0.0,0,0.0
