method,hit_rate,brier,p_l,signals,coverage,return_per_signal
market_only,0.8889,0.176807,18.420966,36,0.6667,0.511693
data_only,1.0,0.087678,13.171367,21,0.3889,0.627208
news_only,0.6667,0.249173,4.0,12,0.2222,0.333333
data_news,0.8788,0.146404,17.171367,33,0.6111,0.520344
proposed_agent,0.8571,0.145031,13.786171,28,0.5185,0.492363
