threshold,hit_rate,brier,p_l,signals,coverage,return_per_signal
0.5,0.8571,0.145031,13.786171,28,0.5185,0.492363
1.0,0.8571,0.145031,13.786171,28,0.5185,0.492363
1.5,0.8571,0.145031,13.786171,28,0.5185,0.492363
2.0,0.8182,0.174458,10.853059,22,0.4074,0.493321
2.5,1.0,0.072864,2.486497,3,0.0556,0.828832
